text,true,predicted
"In the Perugia Consensus Conference it was decided that the recommended antiemetic regimen in the prevention of acute emesis induced by a single high, low and repeated doses of cisplatin is a serotonin receptor antagonist plus dexamethasone.",negative,positive
Shortly after hepatic artery clamping the patient developed a massive intracardiac/intravascular thrombosis that resulted in cardiac arrest.,negative,positive
Ampicillin may aggravate clinical and experimental myasthenia gravis.,positive,negative
"A fifth child manifested clinical and radiographic signs of rickets after presenting with hypophosphatemia, hypouricemia, and glycosuria.",negative,positive
Further research into the mechanism of IFN related cutaneous side effects is needed.,negative,positive
Specific antiinfectious therapy together with cyclosporine and dexamethasone may be a therapeutic approach.,negative,positive
CONCLUSIONS: Spontaneous hemothorax is a rare phenomenon in conjunction with LMWH but should be considered in cases of acute respiratory distress following commencement of LMWH.,positive,negative
PURPOSE: To evaluate the toxicity of 1 mg of intraocular rituximab and to present a small case-series of patients treated with intravitreal rituximab.,negative,positive
Detection of activated eosinophils in nasal polyps of an aspirin-induced asthma patient.,positive,negative
Marginal crack after intravitreal bevacizumab for myopic choroidal neovascularization.,negative,positive
The association of venlafaxine treatment with ischaemic events could be explained by its unique pharmacological and haemodynamic properties.,positive,negative
Ten years of behavioral data are presented to support the hypothesis that phenobarbital was exacerbating maladaptive behaviors.,positive,negative
Diabetes associated with atypical antipsychotic treatment may be severe but reversible: case report.,negative,positive
"After extensive neurological 'work up', we realized that the anisocoria was related to the transdermal scopolamine patch that we had prescribed for weaning off the opioid.",positive,negative
"Finally, reserpine toxicity, in particular central nervous system (CNS) disturbances, was reported more frequently in patients also receiving barbiturates, suggesting additive CNS effects.",positive,negative
"A case of sideroblastic anemia is presented in a patient with a left ventricular assist device drive-line infection who was receiving linezolid, an antibiotic used for serious infections with gram-positive organisms.",positive,negative
"Despite the underlying hepatitis C, this case represents renal abnormalities consistent with IFNalpha therapy for CML.",positive,negative
"The presented patient was treated with 200 mg TCA and developed Cushing's syndrome 6 weeks later (cortisol and ACTH concentrations were below limits of detection, TCA concentrations were > 3 micrograms/l).",positive,negative
We describe the case of an 82 year old woman developing severe respiratory functional impairment after open heart surgery and subsequent surgical pericardial drainage inducing diaphragmatic spasm and successfully treated with gabapentin.,negative,positive
Tumor lysis syndrome after transcatheter arterial infusion of cisplatin and embolization therapy for liver metastases of melanoma.,positive,negative
