text,true,predicted
"In the Perugia Consensus Conference it was decided that the recommended antiemetic regimen in the prevention of acute emesis induced by a single high, low and repeated doses of cisplatin is a serotonin receptor antagonist plus dexamethasone.",negative,positive
We report a case of CMV ventriculoencephalitis after unrelated double cord blood SCT with an alemtuzumab-containing preparative regimen for Philadelphia-positive acute lymphoblastic leukemia.,negative,positive
Cisplatin toxicity on cardiac electrical activity is discussed.,negative,positive
"Treatment of ELP in children is generally supportive, with the symptoms and roentgenographic abnormalities resolving within months after stopping the use of mineral oil.",positive,negative
CONCLUSIONS: Spontaneous hemothorax is a rare phenomenon in conjunction with LMWH but should be considered in cases of acute respiratory distress following commencement of LMWH.,positive,negative
Marginal crack after intravitreal bevacizumab for myopic choroidal neovascularization.,negative,positive
"(2) In 8 out of 13 cases without recombinant human EPO treatment before PTX, a 10% increase in RBC was observed after PTX.",negative,positive
OBJECTIVE: To report a case of spontaneous hemothorax following anticoagulation with low-molecular-weight heparin (LMWH) for the management of suspected pulmonary embolism.,negative,positive
A causal relationship of phrenal neuropathy with adalimumab is herein discussed.,negative,positive
Awareness of the various potential gastrointestinal toxic effects of bortezomib is of relevance given the growing number of patients undergoing treatment with this important and effective new cancer drug.,negative,positive
Gastric-outlet obstruction induced by prostaglandin therapy in neonates.,negative,positive
"We describe three blood brothers who were involved in pottery glazing and suffered from repeated episodes of severe abdominal pain, nausea, vomiting, constipation and anemia due to lead toxicity.",negative,positive
"She continued taking verapamil for 6 months, then, on her own, stopped all medications including the sustained-release verapamil, and her asthma symptoms disappeared.",positive,negative
CONCLUSIONS: Both the immunomodulatory effects of octreotide on intrathyroidal lymphocytes and rapid reductions in TSH may contribute to the onset of Graves' disease.,negative,positive
We report the occurrence of a cerebral hemorrhage related to cerebral amyloid angiopathy in a patient who underwent thrombolysis and treatment with heparin for acute myocardial infarction.,negative,positive
This case demonstrates the association of selective IgA deficiency with remission in rheumatoid arthritis induced by fenclofenac as well as aurothiomalate and sulphasalazine.,positive,negative
Systemic lupus erythematosus (SLE) developed in as 23-year-old woman with psoriasis during treatment with psoralen-ultraviolet-A (PUVA).,negative,positive
"Rifampicin, an antituberculous drug, causes increased hepatic metabolism of steroid hormones.",negative,positive
Camptocormia occurred concomitantly with an increase of the plasma valproate level from about 330 mumol/l up to 530 mumol/l.,negative,positive
An objective causality assessment suggests that the JHR in our patient was probably related to penicillin.,positive,negative
A 54-year-old woman had seizures and a focal neurologic deficit associated with hyponatremia induced by a thiazide diuretic.,negative,positive
To the best of our knowledge there have been no previous reports of AGEP induced by the ingestion of nimesulide in the medical literature.,negative,positive
"No explanation for this delay was found, other than the possibility that magnesium sulfate treatment impeded lactogenesis.",positive,negative
"Pharmacotherapy with tricyclic antidepressants, anticonvulsants, tramadol and traditional analgesics had failed, primarily due to adverse drug effects, particularly sedation, dizziness and nausea.",negative,positive
"Of note, Compositae dermatitis has been shown to have a higher prevalence in children with atopic dermatitis, so it is important for physicians to be aware of the potential allergens (like bisabolol) in products they are recommending as first line treatments.",negative,positive
Is it safe to switch from stavudine to zidovudine after developing symptomatic hyperlactatemia?,negative,positive
"Inhalation provocation test with DSCG aerosol, 4 months after stopping DSCG treatment, showed an immediate-type 1 response and urticaria.",negative,positive
Successful desensitization to high-dose methotrexate after systemic anaphylaxis.,positive,negative
"Although with current ulcer therapy (H-2 blockers, omeprazole, and sucralfate), the frequency of milk-alkali syndrome has decreased significantly, the classic triad of hypercalcemia, alkalosis, and renal impairment remains the hallmark of the syndrome.",negative,positive
An extrapyramidal reaction was suspected and diphenhydramine 50 mg was administered without effect.,negative,positive
A patient who had been treated with large doses of thyroid hormone for several years developed features of secondary hypothyroidism after thyroid hormone withdrawal.,positive,negative
"We describe the case of a patient with a clinically silent left-sided nasofrontal dermoid cyst who, while being treated with hCG/LH for hypogonadotropic hypogonadism, presented with simple partial seizures, ipsilateral to the cyst, with secondary generalization.",negative,positive
"While the 2 patients without re-exposure to etanercept did not have further CD flares, the third patient flared 6 months after re-institution of etanercept in combination with azathioprine.",negative,positive
"It should be considered for use before benzoin because once allergy to benzoin exists, cross-reactions to Mastisol usually occur.",negative,positive
"A 14-year-old girl, dwarfed by systemic disease and long-term corticosteroid therapy, was able to discontinue prednisone and grew 6.3 cm in 11 months following 18 plasma exchanges with FFP.",negative,positive
"Fracture of the femoral neck occurred in one patient during PSL therapy, although the relationship between the fracture and PSL therapy was uncertain.",positive,negative
"The flares typically last for up to 3 days at a time, and most patients are completely asymptomatic between attacks; if untreated with prophylactic colchicine, some patients later develop amyloidosis and renal failure.",negative,positive
Treatment of APL in pregnancy is controversial as the use of ATRA has been questioned due to the teratogenic effect of retinoids.,positive,negative
We reviewed the findings for healthy volunteers/donors who developed haematological malignancies following PEG-rHuMGDF or G-CSF administration.,negative,positive
This case demonstrates the association of selective IgA deficiency with remission in rheumatoid arthritis induced by fenclofenac as well as aurothiomalate and sulphasalazine.,positive,negative
"In keeping with findings in the literature, the aortic wall in this case was damaged by secondary changes following irradiation and Bleomycin treatment.",positive,negative
"Despite the known pulmonary side effects of nitrofurantoin, there is no report of this toxicity occurring in pregnant patients.",positive,negative
"OBJECTIVE: The goal of this article was to describe a potential drug-drug interaction between propafenone and citalopram, which caused symptoms of propafenone adverse effects.",negative,positive
An objective causality assessment suggested that the increased mania was probably related to the decrease in VPA concentration and that a possible interaction exists between lopinavir/ritonavir and VPA.,negative,positive
"Two heroin addicts, aged 34 and 19 years, developed ballistic movements after intravenous heroin overdose.",positive,negative
A multi-drug intoxication fatality involving Xyrem (GHB).,negative,positive
"Additionally, ceftriaxone may cause problems in either adults or children with preexisting disease, who may not be well-nourished, or who may be dehydrated.",negative,positive
"Fortunately, however, the hepatotoxicity appears to resolve after discontinuation of the TMP-SMX therapy in most reported cases.",negative,positive
"The second case, a 16-year-old African-American male with an absolute CD4+ cell count of 895 cells/mm3, presented with rickets and hypophosphatemia while receiving TDF-based HAART.",negative,positive
"Delayed immune reconstitution after SCT, such as cord blood and T-cell depleted SCT with the use of alemtuzumab, has been associated with an increased frequency of CMV disease as well as CMV reactivation.",negative,positive
Reactivation histoplasmosis after treatment with anti-tumor necrosis factor alpha in a patient from a nonendemic area.,negative,positive
We investigated whether clozapine used as a first-line antipsychotic drug can cause TD.,negative,positive
We report the case of a 2-year-old boy with seizures who developed hepatic failure shortly after commencing sodium valproate.,negative,positive
"CASE SUMMARY: An 80-year-old white female, followed up at the Memory Clinic for mild cognitive impairment, had been taking propafenone 900 mg/d for >10 years for paroxysmal atrial fibrillation without adverse effects.",positive,negative
Epithelioid angiosarcoma of the lung: a rare late complication of Lucite plombage.,negative,positive
Serious adverse events experienced by patients with chronic heart failure taking spironolactone.,positive,negative
"After receiving 3 doses of ifosfamide/mesna, she was found to be unresponsive.",positive,negative
Gentamicin alone may be nephrotoxic and should be given with particular caution to the elderly and those with even mild kidney abnormalities.,negative,positive
Tolazoline induces a dilatation of the pulmonary vascular system by stimulating H2 receptors.,negative,positive
"The striking temporal relationship between commencing dalteparin on day 1 and subsequent development of effusion on day 4, following 3 doses of LMWH, led us to believe that the bleed occurred as a result of the therapy.",negative,positive
We explored ophthalmic and neurologic findings in two children who have been exposed prenatally to VGB.,positive,negative
"Alopecia does rarely develop in the convalescent status of phenobarbital-induced AHS after stopping phenobarbital and its mechanism is related to lymphocyte infiltration into the peri-bulbar, supra-bulbar and peri-follicular regions.",negative,positive
"Unintended exposure to acyclovir early in pregnancy, which is not uncommon, may cause excessive maternal and physician anxiety.",positive,negative
"Case Report: We report a case of methanol poisoning exhibiting complete recovery from severe visual impairment following treatment with ethanol, fomepizole, and hemodialysis.",negative,positive
We describe a 16-year-old girl with metastatic hepatocellular carcinoma who experienced cesium-induced QT-interval prolongation after the start of a cesium chloride-based alternative treatment regimen.,negative,positive
"Herein, we report the case of a 73-year-old woman who underwent major coronary surgery and developed fatal systemic venous thrombosis after recombinant factor VIIa was used in an attempt to control her severe postoperative bleeding.",negative,positive
Our data is consistent with the notion that elevated blood levels of PTH in patients with chronic renal failure participate in the genesis of anemia of renal failure.,negative,positive
Charcoal hemoperfusion and sequential dialysis were performed because of the serious risk of fatality following such a massive dose of dapsone.,negative,positive
Significant clinical improvement of the porphyria followed withdrawal of the diphenylhydantoin.,positive,negative
"Seven years later, after chemotherapy with chlorambucil, chronic myelogenous leukemia was diagnosed in addition to the chronic lymphocytic leukemia.",negative,positive
Other thiazolidinediones currently in clinical trials may be able to provide the therapeutic benefits of troglitazone without significant hepatotoxicity.,positive,negative
"Immune-mediated reactions to nonsteroidal anti-inflammatory drugs (NSAIDs) are unusual, and true allergy to the drug flurbiprofen has never been documented.",negative,positive
This report describes the case of a 58-year-old female patient with treatment-refractory schizophrenia who was successfully switched from clozapine 300 mg/day to aripiprazole 20 mg/day because of changes in consciousness.,negative,positive
"DISCUSSION: Cutaneous IL-2 adverse effects are frequent, but generally mild and reversible.",negative,positive
"DISCUSSION: CIPS is hypothesized to result from calcineurin-induced vascular changes that disturb bone perfusion and permeability, leading to intraosseous vasoconstriction and bone marrow edema.",negative,positive
"Aminoglutethimide was discontinued until completion of radiotherapy, and the rash resolved.",positive,negative
An unusual cause of burn injury: unsupervised use of drugs that contain psoralens.,positive,negative
Monitoring of liver function tests should be mandatory in patients receiving high doses of cyproterone acetate; the drug should be withdrawn immediately if abnormal liver function tests are found.,positive,negative
We present the case of a 58-year-old woman who ingested more than 35 g of caffeine in a suicide attempt.,positive,negative
She manifested all the clinical symptoms and signs of caffeine toxicity.,negative,positive
"We observed intracranial hemorrhagic infarcts with focal seizures and hemiparesis associated with clotting abnormalities, including severe hypofibrinogenemia, probably the result of L-asparaginase administered during induction therapy of acute lymphocytic leukemia.",negative,positive
"Six days after taking erlotinib, a chest radiograph showed rapid progression of reticular infiltration in both lung fields.",negative,positive
The pro-arrhythmic effects of procainamide may be explained on the basis of both its vagolytic action on the atrioventricular node as well as by prolongation of refractoriness in the accessory pathway.,positive,negative
Despite a long-time antibiotic therapy two further episodes of staphylococcus aureus sepsis occurred after discontinuation of CyA treatment.,negative,positive
Chemical and traumatic alopecia from thioglycolate in a black woman: a case report with unusual clinical and histologic findings.,negative,positive
Treatment of chronic hepatitis C with interferon alpha (IFN-alpha) is relatively contraindicated in patients with psychiatric disorders because of possible severe psychiatric side effects.,positive,negative
Seventy-four per cent of patients with epileptogenic disorders seen at the Emergency Unit at Groote Schuur Hospital were on phenytoin and 11.6% of these had blood levels in the toxic range.,positive,negative
"During the course of treatment, photosensitisation by clofazimine led to a dermatological disease resembling actinic dermatitis.",negative,positive
We describe two cases of drug-induced myopathy during long-term treatment of chronic hepatitis B with clevudine.,negative,positive
"Both patients developed a severe, sustained hypothyroidism requiring thyroxine treatment for one year or more after stopping alpha interferon.",negative,positive
"The long-acting somatostatin analogue octreotide (LAR, 30 mg/month, i.m.), was started, and after 2 weeks diarrhea decreased and gradually disappeared.",negative,positive
The neuropathological changes had features similar to those seen in leukoencephalopathy with intrathecal administration of methotrexate.,negative,positive
"Of the four patients who responded to HU with an increase in total Hb, all reported symptomatic improvement and three have not required further transfusions.",positive,negative
The international literature regarding opportunistic infections after immunosuppressive therapy with alemtuzumab with particular attention on fungal infections has also been reviewed.,positive,negative
"Treatment of ELP in children is generally supportive, with the symptoms and roentgenographic abnormalities resolving within months after stopping the use of mineral oil.",positive,negative
"In one child, a second course of carbamazepine resulted in a return of the dystonia.",positive,negative
Imatinib-induced tumor lysis syndrome: report of a case and review of the literature.,negative,positive
Fifty-two mental hospital cases of acute and chronic schizophrenia and gross behaviour disorders were investigated and observed for 6-12 months during treatment with clozapine.,negative,positive
"Interference with the cortisol axis by the microtubule antagonist, CPH82.",positive,negative
Flumazenil reversal of benzodiazepine-induced sedation for a patient with severe pre-ECT anxiety.,positive,negative
The newborn manifested a four day course of lethargy with unexplained high lithium levels in the adult toxic range.,positive,negative
Management of heparin allergy during pregnancy with danaparoid.,negative,positive
Combining methylephedrine and Chinese herbal drugs might carry a risk of stroke.,positive,negative
"The induced hyperglycaemia could not be controlled sufficiently, despite a high dose of insulin (> 110 units/day), suggesting the existence of insulin insensitivity and hyperinsulinaemia.",positive,negative
A diagnosis of masked theophylline poisoning should be considered in similar situations involving a rapid decrease of insulin requirements.,positive,negative
Successful treatment of a colonic ulcer penetrating the urinary bladder caused by the administration of calcium polystyrene sulfonate and sorbitol.,negative,positive
"When the disease recurred conventional amphotericin B was used again, but had to be stopped because of severe side effects.",positive,negative
Benign intracranial hypertension should be sought in any young woman complaining of headache during treatment with tetracycline.,negative,positive
Ferrous sulfate-induced increase in requirement for thyroxine in a patient with primary hypothyroidism.,negative,positive
"The Japanese literature was reviewed for reports on this allergy, and the occurrence due to budesonide was compared with that of other dermocorticosteroids.",negative,positive
CONCLUSIONS: There was a temporal relationship between the onset of nonconvulsive status epilepticus and initiation of ifosfamide infusion.,positive,negative
Bone formation induced in an infant by systemic prostaglandin-E2 administration.,positive,negative
"All patients were given pharmacologic doses of vitamin D, had reduced baseline levels of renal function, and became hypercalcemic with acute renal failure.",negative,positive
Treatment of caffeine toxicity with esmolol.,negative,positive
"To our knowledge, no case of fatal agranulocytosis as a result of olanzapine treatment was reported in the literature.",negative,positive
The responsibility of CCNU in the pathogenesis of pulmonary fibrosis seems very likely.,positive,negative
"While ethambutol treatment is most commonly instituted for pulmonary tuberculosis, it is interesting to note that both of these patients had renal tuberculosis.",negative,positive
"In rare patients, systemic absorption of inhaled tobramycin may be significant enough to produce toxic effects, such as renal and vestibular toxicities.",negative,positive
"We report a patient with a recurrent supratentorial pilocytic astrocytoma who had an untoward interaction between high-dose tamoxifen therapy and phenytoin (PHT), drugs that share a common enzyme for metabolism, therefore emphasizing the need to monitor concomitant antiepileptic drug (AED) levels when high-dose tamoxifen therapy is instituted.",negative,positive
We report a typical case of post-transfusion purpura (PTP) due to anti-PlA1 in a 65-year-old woman.,negative,positive
Cyproterone acetate (CPA) is a steroidal synthetic progestagen and anti-androgenic compound widely administered in prostate cancer which has been evidentially correlated with a severe hepatotoxic potency.,negative,positive
"One woman received ifosfamide 1000 mg/m2 (1 h infusion on days 1-5); confusion, lethargy, and speech deterioration developed on day 3.",negative,positive
Effectiveness of octreotide in a case of refractory sulfonylurea-induced hypoglycemia.,negative,positive
Severe 5-fluorouracil toxicity secondary to dihydropyrimidine dehydrogenase deficiency.,negative,positive
"Eighty-two patients with various malignancies who received imipenem/cilastatin 143 times for neutropenic fever between March 1994 and October 1999 in Department of Pediatric Oncology, Gazi University, were identified.",positive,negative
"Complex drug-induced cutaneous reactions have been previously reported with other drugs, especially with D-penicillamine, which bears chemical similarities with captopril.",negative,positive
Pulmonary sarcoidosis following interferon therapy for advanced renal cell carcinoma.,negative,positive
"In the absence of clinical or morphologic differences, a recent ingestion of minocycline should be excluded before the diagnosis of sporadic autoimmune hepatitis is established.",negative,positive
Immunosuppression elicited by the extensive administration of prednisolone was suspected for the initiation of the generalized mite infestation.,positive,negative
Intravenous sodium bicarbonate appears to be indicated prophylactically in combating the associated metabolic acidosis due to absorbed formic acid.,positive,negative
"Thus, clinical recognition of sleep disordered breathing should be taken into account when rheumatoid arthritis patients are to be treated with infliximab.",positive,negative
Subfulminant syncytial giant cell hepatitis: recurrence after liver transplantation treated with ribavirin.,negative,positive
"Since fondaparinux use in patients undergoing PCI has been associated with an increased risk for catheter-related thrombosis, the use of fondaparinux in PCI patients should be limited.",negative,positive
We propose a classification of cutaneous minocycline pigmentation based on clinico-pathological criteria.,negative,positive
Severe slowly resolving heroin-induced pulmonary edema.,negative,positive
All four patients had pericardial abnormalities on echocardiography prior to receiving gemcitabine.,negative,positive
Pamidronate treatment of hypercalcemia caused by vitamin D toxicity.,negative,positive
Tolerance to phenelzine and subsequent refractory depression: three cases.,negative,positive
"The pathophysiological mechanisms remain unknown, although the drug could act through massive cytokines liberation after destruction of CD20 positive cells by rituximab.",positive,negative
Iodine-induced hypothyroidism and goiter following lipiodolTM lymphography.,negative,positive
Favorable outcome of de novo hepatitis B infection after liver transplantation with lamivudine and adefovir therapy.,positive,negative
"Although the patient had no symptoms 10 hours after intrathecal treatment, to prevent the possible neurotoxic effects of methotrexate, a cerebrospinal fluid exchange was performed.",negative,positive
"We report sporotrichoid spread of Mycobacterium marinum in a 37-year-old woman with Crohn's disease, who had been receiving infliximab infusions for 2 years.",negative,positive
"One explanation for the noted increase in the theophylline level is that metabolism occurs mainly by cytochrome P450 (CYP 1A2), an enzyme that is known to be inhibited with high concentrations of zafirlukast.",positive,negative
A 64-year-old male patient developed progressive pancytopenia three weeks into therapy with lenalidomide for his relapsed MM.,negative,positive
